"DESCRİPTİON","DURATİON İN MS","NAME","PARENT SUİTE","START TİME","STATUS","STOP TİME","SUB SUİTE","SUİTE","TEST CLASS","TEST METHOD"
"","18121","Login Successful","","Mon Aug 26 16:56:51 TRT 2024","passed","Mon Aug 26 16:57:09 TRT 2024","","Login Test","Login Test","Login Successful"
"","7555","Searching Product With Searchbar","","Mon Aug 26 16:57:20 TRT 2024","passed","Mon Aug 26 16:57:27 TRT 2024","","Login Test","Login Test","Searching Product With Searchbar"
"","8423","Adding Product to Cart","","Mon Aug 26 16:57:27 TRT 2024","broken","Mon Aug 26 16:57:36 TRT 2024","","Login Test","Login Test","Adding Product to Cart"
"","10827","Successfully Redirected to Category Page","","Mon Aug 26 16:57:09 TRT 2024","broken","Mon Aug 26 16:57:20 TRT 2024","","Login Test","Login Test","Successfully Redirected to Category Page"
